tax	ADAL1	ADAL3	ADALmet1	ADALmet2	ADUP1	ADUP3	ADUPmet1	ADUPmet2	KUAL1	KUAL2	KUAL3	KUALmet1	KUALmet2	KUALmet3	KUUP1	KUUP2	KUUP3	KUUPmet2
a9ea66f561947415ddedec56eefba498	0	15	19	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ee294c971e414aadb794abaf801476d	16	0	6	0	0	0	23	18	16	0	0	0	0	0	0	0	0	0
4e2e2f954258e1b7a78515c48b213e9b	0	0	0	0	0	0	0	0	28	23	23	10	14	0	0	0	0	0
ff9b5b52fa922e9b8256d2a1f957fab7	0	0	0	0	0	0	0	0	0	29	24	22	9	34	12	0	0	0
7023e409e0530be66c7934e0a7106bfc	0	18	8	21	0	0	0	0	0	1	0	6	0	14	0	0	0	0
0aeff3c72aed0b9e188e500dc57e7036	0	10	23	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e6834aaac446daaef3be72515ec3a852	0	0	0	0	0	0	0	0	0	15	25	27	31	31	8	0	0	0
72ffa625f2f720dc0ae5176f7829d92c	0	0	0	0	0	0	0	0	0	0	0	0	5	21	0	0	0	0
8dbe6d749a8812b4338c0674c0a40fb6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	31	49	34
8635dd01b12e51cce5c9ad7af3cd502f	0	14	16	0	0	0	0	0	0	0	4	10	6	0	0	0	0	0
0a4104f957ff6243badcf57d7b86afc5	44	12	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3df8d74afcafd1c4340d4e4a5c49493f	0	38	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fed229a4e719a47b99284291dbfb60b8	52	30	8	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fcfe2c5b2f32b2e08064845141837a4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
7ecb288c44ac72c1217d532b22f6b595	0	0	0	0	0	0	0	0	29	26	24	14	14	37	1	0	0	0
e221dd79a44d796fdc27249bfd75e714	0	0	0	0	0	0	0	0	31	18	21	26	0	34	0	0	0	0
9445b0b076d643309d00a00de972f7dc	0	0	0	0	0	0	0	0	31	15	22	8	20	0	9	0	17	14
5afe3e7d4745c92c332215a9a52f3791	0	38	9	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7528cb7e79922c9e42744e17a892da40	0	0	0	0	0	0	0	0	29	12	18	7	10	0	21	16	0	21
2156bda2293b9f331131375b09e7de66	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
866861a629303545dcfe63605b3ccbcc	36	22	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
37899f856f2ee86ba849e15cadc141d9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	30	67	0	43
5f2288bafbc83c28b02040c25e9a28cf	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44bf50735d1718896b6efd82850c867b	0	0	0	0	0	0	0	0	10	10	15	0	16	0	7	0	18	0
cd4df7abec83d0127ae4d1530003728b	0	21	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4207cbebd625ca3098538a88bfdf0053	0	0	0	0	0	0	0	0	22	37	23	11	21	0	0	0	0	0
ca4dec4bc91a6358590431c3c11d84e5	0	0	0	0	0	0	0	0	27	12	0	19	20	0	14	0	44	0
fcf358049389f73f8660a8f93e8f1c74	0	0	0	0	0	0	0	0	0	18	19	13	26	0	9	0	0	23
abd43fe097ce2179a1e09d4ef6cd4fe4	0	0	0	0	0	0	0	0	0	26	18	19	0	34	7	15	13	0
a3a61c4352f9ce13aa2dc2a64b612d52	0	18	4	25	0	0	0	0	0	0	0	20	17	11	0	0	0	0
f19b6257b498dccff689f5535896e58c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
1fb7532db672ff3a3ce8e117b3672201	45	11	14	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37b38b985e82f06e88229d85b5f1ca78	0	26	13	21	0	0	0	0	0	0	6	4	3	0	0	0	0	0
819492c4c9e79d58a90aff94415cc0e2	0	0	0	0	0	0	0	0	32	22	34	21	0	33	0	0	0	0
acb6c53fda77c7547fde6e19117e3467	0	0	0	0	0	0	0	0	19	0	14	6	16	0	8	32	29	20
74b11d1bda5b12814dae7acd6315496d	0	0	0	0	0	0	0	0	0	0	0	33	32	66	0	0	0	0
87428a7502e060be7e1da3c046deb30e	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
82562fb66bfb580b7cb4bd4913c6c67f	0	29	14	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9fb2342eb033c34734a552223605380c	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42f4edd1546b085018bafdf66b17ae26	0	0	0	0	0	0	0	0	39	15	15	16	15	0	0	0	0	14
916d576c5ad11f579467affab35d09ec	0	0	0	0	0	0	0	0	0	6	0	19	42	0	13	0	0	16
e1f82277cbacd122ec5fb29a38060b87	0	30	6	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
