location	1990-1	2019-1	change absolute number(%)	1990-2	2019-2	EAPC_ASIR
Ghana	31.79 [27.5-36.56]	62.95 [54.94-71.64]	98.0182447310475	22.55 [20.08-25.02]	21.69 [19.24-24.19]	-0.19 [-0.22 to -0.16]
Namibia	2.32 [1.93-2.75]	3.71 [3.11-4.36]	59.9137931034483	15.35 [13.18-17.64]	15.16 [12.91-17.56]	-0.06 [-0.1 to -0.02]
Jordan	3.83 [3.13-4.61]	9.39 [7.85-11.2]	145.169712793734	8.68 [7.4-10.07]	8.22 [6.95-9.63]	-0.29 [-0.35 to -0.23]
Switzerland	5.28 [4.6-6.01]	7.57 [6.6-8.52]	43.3712121212121	7.64 [6.58-8.81]	7.93 [6.83-9.1]	0.33 [0.26 to 0.39]
Dominica	0.12 [0.1-0.14]	0.08 [0.07-0.09]	-33.3333333333333	15.17 [13.14-17.49]	13.65 [11.78-15.83]	-0.43 [-0.52 to -0.33]
United Kingdom	46.18 [39.66-52.55]	65.28 [57.12-73.31]	41.3598960589	8.08 [6.82-9.42]	9.01 [7.73-10.36]	-0.2 [-0.46 to 0.05]
Libya	3.16 [2.59-3.81]	3.6 [3.06-4.17]	13.9240506329114	6.41 [5.43-7.45]	6.34 [5.38-7.41]	-0.05 [-0.08 to -0.03]
Albania	2.79 [2.42-3.2]	1.76 [1.54-1.99]	-36.9175627240143	8.32 [7.3-9.41]	6.65 [5.74-7.63]	-1.07 [-1.18 to -0.96]
Italy	35.91 [30.83-40.78]	42.72 [37.93-47.37]	18.9640768588137	6.51 [5.51-7.59]	6.05 [5.31-6.8]	-0.58 [-0.92 to -0.25]
Czechia	5.83 [4.97-6.69]	6.1 [5.21-6.98]	4.631217838765	5.89 [4.99-6.81]	5.88 [4.98-6.84]	0.01 [-0.05 to 0.08]
Lao People's Democratic Republic	6.51 [5.43-7.74]	8.6 [7.31-10.07]	32.1044546850998	13.44 [11.61-15.41]	12.17 [10.48-14.03]	-0.44 [-0.48 to -0.41]
Argentina	24.74 [20.93-28.99]	32.02 [27.31-36.96]	29.4260307194826	7.37 [6.25-8.59]	7.34 [6.24-8.57]	-0.01 [-0.05 to 0.03]
Bahamas	0.33 [0.27-0.38]	0.38 [0.32-0.44]	15.1515151515151	12.91 [11.03-14.93]	11.67 [9.81-13.68]	-0.41 [-0.51 to -0.31]
Ecuador	9.42 [8.09-10.87]	12.57 [11.22-14.09]	33.4394904458599	8.84 [7.79-9.99]	7.39 [6.61-8.25]	-0.91 [-1.05 to -0.77]
Marshall Islands	0.06 [0.05-0.08]	0.06 [0.05-0.08]	0	10.83 [8.97-12.77]	10.7 [8.87-12.75]	-0.06 [-0.08 to -0.04]
Guinea	11.66 [9.96-13.6]	22.85 [19.38-26.82]	95.9691252144083	18.17 [15.91-20.49]	18.21 [15.89-20.61]	0.03 [0 to 0.06]
Luxembourg	0.3 [0.26-0.34]	0.5 [0.44-0.56]	66.6666666666667	7.96 [6.83-9.15]	7.9 [6.79-9.1]	-0.46 [-0.59 to -0.33]
Afghanistan	21.57 [19.06-24.47]	70.14 [61.76-80.4]	225.173852573018	19.39 [17.46-21.37]	19.41 [17.54-21.51]	-0.03 [-0.32 to 0.25]
Brazil	225.17 [185.12-272.65]	129.94 [114.92-145.19]	-42.2924901185771	14.83 [12.43-17.48]	6.33 [5.56-7.13]	-3.33 [-3.83 to -2.83]
Papua New Guinea	5.49 [4.45-6.67]	12.59 [10.29-15.3]	129.326047358834	11.33 [9.51-13.34]	11.28 [9.44-13.35]	0 [-0.03 to 0.02]
South Africa	57.35 [48.26-68.24]	80.1 [67.72-93.28]	39.6687009590235	15.08 [12.96-17.41]	14.85 [12.65-17.3]	-0.05 [-0.11 to 0.01]
Maldives	0.35 [0.29-0.42]	0.51 [0.44-0.59]	45.7142857142857	13.69 [11.83-15.71]	12.13 [10.49-13.96]	-0.54 [-0.6 to -0.48]
Central African Republic	4.43 [3.71-5.26]	8.2 [6.83-9.8]	85.1015801354402	14.6 [12.6-16.89]	14.49 [12.38-16.76]	-0.01 [-0.07 to 0.04]
Malawi	15.9 [13.23-18.76]	28.56 [24.17-34.05]	79.622641509434	15.74 [13.7-17.91]	15.77 [13.85-17.99]	0.01 [-0.02 to 0.04]
