,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
TCGA.DM.A28K.01A.21R.A32Y.07,-0.128969276313311,-0.269780128012848,0.264199729524823,-0.129726509277207,-0.165507806145298,0.0470456278995937,0.0719721366850869,0.0482053879750944,-0.248345774140561,-0.181791773646004,0.167800313047354,-0.0463344830192413,0.125657398985963,0.0150311526479751,-0.0483341657137634,0.296730827483384,0.0940057702952777,0.111882543053882,-0.0212835417631191,-0.0650710374714653,-0.10048711289135,0.0195482671214985,0.10995935966273,-0.240186915887851
TCGA.AA.A02K.01A.03R.A32Y.07,-0.023464800813592,-0.261365801260652,0.260306103188512,-0.145438134428025,-0.171915678321039,0.0526050119633164,0.0320252833373563,0.0528410092463707,-0.204026668833086,-0.119915379221758,0.0232735130269275,0.00310037582271322,0.116735901337727,0.13785046728972,-0.0972234369141891,0.24569158571835,0.0754501963676686,0.136435668566641,-0.0976177572909486,-0.0726468204281966,-0.0550045033984717,-0.0080756973284651,0.00773837035532196,-0.192990654205608
TCGA.A6.2671.01A.01R.1410.07,0.0493908216616879,-0.258618238881171,0.268129026724908,-0.00202878664280204,0.0661927796336792,0.0916013792037729,0.173008422977586,0.185200511379645,-0.103620786833316,-0.0247463811187728,0.148111514618888,0.0774847605074925,0.188876218460908,0.130373831775701,-0.0675050355936435,0.240072327866269,0.0124422670919118,0.166509746521424,-0.028927308363713,-0.0854593504244832,0.00962001180692632,-0.0485981245034691,-0.0182172023756371,-0.0490654205607477
TCGA.AA.A01T.01A.21R.A16W.07,0.044848329205483,-0.235901449612055,0.252234247478307,-0.0312535501070003,-0.0927065205174398,0.0856374937717231,0.0775046725572223,-0.00799919846794177,-0.204676144576137,-0.128179319498003,0.195557146665364,0.0750160136313212,0.16259160279109,0.429517133956386,-0.0653104181827196,0.191067581165848,0.013172095383824,0.126351121819893,-0.0297388761420912,-0.107769575805333,0.0415809980017572,0.0174415277399509,-0.00112369901547937,0.00428348909657321
TCGA.A6.5661.01A.01R.1653.07,0.045396102362601,-0.180138658498723,0.275510112468402,-0.0694275330051043,-0.107002137748421,0.0843337547052323,0.0721570931519532,0.138666714373881,-0.106650762373511,-0.105337988262236,0.0883354634681587,-0.0180486279730951,0.127315641699676,-0.0163551401869159,0.0634229306570613,0.305572364598849,0.0430548896263392,0.12755017310533,-0.0375447739878985,-0.0230582047558146,0.0390401297214535,-0.0303349050211873,0.109007220353742,-0.125778816199377
TCGA.DM.A0X9.01A.11R.A155.07,-0.017726744867614,-0.190243470509738,0.282040191479073,0.0134340231837921,-0.1450759328515,0.0641337132418065,0.0427576927694947,0.0808459899372547,-0.177238119923534,-0.163870629149676,0.0309027133211712,0.0281362131413934,0.130538057238623,0.0206386292834891,0.0394674925333544,0.298806584851598,0.076036714353522,0.120058745368069,-0.011549569465803,-0.0610184555108339,-0.0177460063264171,-0.103121184931216,0.0990477671559317,-0.117679127725857
TCGA.AA.3552.01A.01R.0821.07,0.127947604280639,-0.131731515925143,0.271238342329049,0.0502629861053346,0.0378616148030902,0.106443473702127,0.186641014618911,0.128388411345315,-0.0476004532350525,-0.11033330673471,0.0547899358203514,0.08408375853449,0.129935607743351,0.243535825545171,0.0561394689737119,0.279438851115976,0.0322059182160996,0.169912830328588,-0.0155454038033303,-0.0952941126505844,0.0337621107419981,0.0509380981862132,-0.0152437994905648,0.00459501557632399
TCGA.D5.6929.01A.31R.1928.07,-0.108723551750913,-0.138219782961064,0.279115846380389,-0.017784345824934,-0.0639549646593575,0.0716684796641374,0.0593384242855646,0.154975940747158,-0.198234416931956,-0.112664730124173,0.0276690607895922,0.129341680474272,0.161725034149262,0.102414330218069,-0.0404153306465255,0.273142235279464,0.0486546694635722,0.19990296141358,0.00522369284143228,-0.0578663771744764,0.0219306163366307,-0.13987791040419,0.0374769190832965,-0.144392523364486
TCGA.AA.3488.01A.01R.1410.07,-0.00853675849531687,-0.218137972915664,0.245121943801752,-0.0695202121460971,-0.0537155723064843,0.0489427108520382,0.108246455707785,0.0578737412543905,-0.173243751522782,-0.0672541478437707,0.101025227117244,0.0950989337283901,0.105044866728554,0.088785046728972,-0.0616298445101985,0.234247147110725,-0.00582858016802563,0.126618498960764,-0.0276916174762686,-0.115605369909187,-0.0431092894430547,0.0359686178050681,0.0267930501819507,-0.125155763239875
TCGA.G4.6293.01A.11R.1723.07,0.0806581451159399,-0.149677939799997,0.284500477818424,0.0391633675676207,-0.0972122554440456,0.0879005425959397,0.0988378620070497,0.075236369492561,-0.080691721736408,-0.0796023979189969,0.121222494466877,0.155921544737258,0.137313625033784,0.175311526479751,0.075288007369266,0.29464433571135,0.0663610692999935,0.133551348580238,-0.0141548672966292,-0.0439454814914618,0.016813199514126,-0.00341554284380907,0.0358144892916564,0.0532710280373832
