SYMBOL,avg_log2FC,AveExpr,t,Pvalue,adj.P.Val,B
LINC01049,0.037428069,1.840244075,1.274491064,0.236696501,0.49770678,-5.714932037
VPS26B,0.040116854,3.178693023,1.274476799,0.236701314,0.49770678,-5.714948657
LINC01023,-0.060397735,1.621827542,-1.274235261,0.236782822,0.497808717,-5.715230057
JMJD8,-0.08868141,3.2272747,-1.274044859,0.23684709,0.497874386,-5.715451856
SLX4IP,0.104245244,3.012291554,1.273816004,0.236924358,0.497880184,-5.715718421
NR2F1-AS1,-0.049558945,1.972507933,-1.273455415,0.237046145,0.497880184,-5.716138362
DMAP1,0.085274777,3.083692213,1.273451431,0.237047491,0.497880184,-5.716143001
EIF4EBP1,0.055274203,3.549914923,1.273391792,0.237067639,0.497880184,-5.716212448
ZNF259P1 ,0.051259735,3.132013829,1.273359656,0.237078496,0.497880184,-5.716249868
CKB,-0.125788251,3.47362574,-1.273311606,0.237094731,0.497880184,-5.716305818
